"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3986419309119","14.9866606211009","17.1327192233916","17.5136636772655","15.549271842299","15.8253515750802","15.9113471050335","15.2834244604317","16.7927031509121","17.5977187264979","18.5044103547459","19.5727649769585","18.9801110873745","18.0314000814001","16.175408003577","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","31.4580094028533","31.5315997533522","30.3163693310952","30.4091886030302","30.9777604816524","30.6326031845836","29.1578899645114","30.0435620285264","31.5441274573223","32.2196069523915","32.2123185673957","31.9295878867487","30.9379653020835","32.1110413315303","","","34.9327759393181","31.6590114812505","32.2135280397212","31.4984277729311","31.8830306432338","32.1971279264079","31.0027327918529","30.7313179983035","30.4097318840831","29.3125606460871","27.9847376000856","26.92727078289","25.8927639283792","25.0187849908728","28.8148263892322","30.166295857048","28.7765791135665","27.9890612841908","29.5126785733045","30.36637143938","29.8714904819797","29.2290272911225","28.1159123230015","28.2143207367229","29.1752659975657","28.7238475390808","29.6894268900442","30.8703987683101","27.4669957265911","28.9904860219979","29.3222874758354","28.5109344045518","27.9053914189913","27.3436097952564","26.3751056003977","26.7343268134152","26.8193891225929","27.9159475870706","28.29527432203","27.4723680842633",
"Afghanistan","AFG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8101270064854","22.7108641828326","26.2267897500666","26.8120992326398","28.2107680719994","26.8822416082148","26.9156280026285","21.8971222069406","21.1514206977128","22.7402524820273","21.1578071539751","20.4446053132561","21.2296632181805","22.1240424906926","10.4668076938201","10.0518739969063","13.3872469597976","14.0581123697768","12.4708906466922",
"Africa Western and Central","AFW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","32.1001439671414","29.7603156182106","29.6092338120726","28.0435143520868","30.3446671528705","28.936134632026","28.8677167790437","28.0860959861332","30.180987516394","30.8030705719706","31.4378570462689","31.6690210866575","29.6392927152488","29.0746018652986","31.8059114242864","32.5143280665269","31.6507792687457","27.2088819736439","28.2026146447027","31.3669821974193","27.4803674756171","24.5215155767619","26.4265612391908","28.6502164567089","27.8808271916066","27.2375990697667","26.0146611329969","26.5713688031412","23.9053730432675","26.4342805228585","29.0104200617774","28.5177552639794","28.0967592900415","27.2121844137329","23.1742491535688","21.3650081827171","24.1951247778624","26.4849155753317","27.3625178448955","28.3789687898209",
"Angola","AGO","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2851757873636","67.8206759362436","60.757741389497","55.1572893027623","72.7173723137849","72.1229549419033","64.8838115415289","56.0757965388459","53.1169963887799","54.6299213113549","60.4019934569532","58.109331166465","61.8835378515421","60.2548201250717","44.0563761691749","52.3684348885467","56.026514743024","56.9182197485493","53.3628539821467","46.2033255675024","41.9330926455315","42.643566778715","42.1679535486771","47.9315416320185","49.986772065329","44.7609032351554",
"Albania","ALB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3736634617993","18.1095774942395","15.3468920399074","16.5364476370761","19.3956456296929","21.7356604231714","23.1063954130151","24.0555827571712","24.6655230886557","25.0817044962801","25.3081868713657","25.3402998998185","25.1610202705982","24.4136512883637","24.9374670061949","24.484407516121","22.9185139216065","23.061336904157","21.5088578900509","21.7636624840832","21.1419432555349","20.3583605689267","21.2840304546277","20.2359624888842","19.7049994696374",
"Andorra","AND","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","58.3715947349106","56.94311152961","54.7322051166884","52.1966766811372","","60.9615757122977","57.5494992491201","50.0554863129377","45.4668079981624","44.3732372455564","41.5432542841632","37.206538287191","38.7092441503297","37.5789190271867","39.3787310391485","45.4850364076545","40.745131333422","42.9387674726761","41.3951909849163","39.9605791442341","41.2718463547301","42.3791890500909","43.2878799208711","39.0459907213303","42.3445380806799","47.7070915999914","45.602655597003","45.9592723844476","47.2939563818652","48.6394538843973","51.8927734117099","52.8346521676227","51.7231682593817","54.6308917223068","46.1923719024105","49.3854163410317","54.2154772799371","53.8409505587314","51.9758904266886","50.0373526611153","41.5775813748876","39.5996672185345","41.5954701105483","44.6657705019262","43.3227480718909","36.666137897446",
"United Arab Emirates","ARE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","73.995507005299","71.8147226501297","67.9817061865227","68.058799882661","71.3555523848691","72.6636063301946","68.3633070683534","63.1520519771899","61.4041786789367","62.8107143089844","61.2521468441391","52.1543733498118","54.6811011537108","53.0142376546918","55.0769292067955","58.9023505708529","46.7783014879946","55.2980232231106","51.4799216454456","46.2603750878466","45.5451739211502","46.3670023696682","45.4284115017034","40.0235324596818","42.0206625694073","48.5170116316395","49.6763412859899","47.5457475824448","49.1210129154604","51.6783480847693","55.6434763024807","57.903111718071","54.840228590251","58.0179784435584","52.044956000368","52.5308621988942","58.0355992952437","57.449131719203","55.0061258140395","52.7646083574634","43.8938141693106","41.4486936338511","42.5746249848471","47.0329278956723","46.1603691405382","",
"Argentina","ARG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","48.4144764220088","49.605814661101","47.3834143823114","47.0360652886282","47.3861283042889","42.278789634459","45.9547284532329","45.581648950747","43.3522399337902","43.5928026239928","50.141323678472","50.8936968312364","47.8061321945614","46.0976480124721","44.0281237958525","41.2196656664295","40.3382267073251","41.1028486443199","41.5563065120102","39.70818793304","39.2761545711593","37.3804348914774","37.8286752699048","38.4866110820983","42.3478130695861","36.0218813478135","32.7225282556322","30.6839549022114","27.338739645861","26.7545586932878","26.3012103355498","26.5925606398683","27.1791508883114","26.7121357626278","26.1936304991129","25.9908360111364","25.2434339827333","30.5577370913046","32.6450990996503","28.816922006834","28.6263140439084","29.2032796652469","27.4152361334783","26.2724599395946","25.2842047993735","25.2587762576722","25.2126976058843","24.4290570649122","24.0058814423072","24.2773944936602","23.153056135905","22.0541072112108","21.782123219335","23.0589303202641","23.4098534223297","22.4694767111459",
